geoid,name,B08105A001,"B08105A001, Error",B08105A002,"B08105A002, Error",B08105A003,"B08105A003, Error",B08105A004,"B08105A004, Error",B08105A005,"B08105A005, Error",B08105A006,"B08105A006, Error",B08105A007,"B08105A007, Error"
14000US06037124903,"Census Tract 1249.03, Los Angeles, CA",1754,299,1395,307,60,58,51,35,121,122,0,12,127,86
14000US06037125100,"Census Tract 1251, Los Angeles, CA",2444,318,2039,314,120,78,15,23,14,22,20,31,236,129
14000US06037125200,"Census Tract 1252, Los Angeles, CA",1462,229,1101,206,22,29,54,40,34,32,38,39,213,89
14000US06037125310,"Census Tract 1253.10, Los Angeles, CA",1888,359,1369,340,80,75,106,87,12,19,41,40,280,157
14000US06037125320,"Census Tract 1253.20, Los Angeles, CA",2369,433,1778,368,74,59,150,96,32,36,37,56,298,138
14000US06037125401,"Census Tract 1254.01, Los Angeles, CA",2147,340,1620,316,77,83,161,98,17,28,30,48,242,97
14000US06037125402,"Census Tract 1254.02, Los Angeles, CA",2309,469,1905,468,75,46,84,48,32,40,27,24,186,82
14000US06037125501,"Census Tract 1255.01, Los Angeles, CA",1434,206,1205,201,41,33,64,56,23,37,50,51,51,39
14000US06037125502,"Census Tract 1255.02, Los Angeles, CA",1747,243,1257,225,123,74,84,77,39,26,25,23,219,145
14000US06037125600,"Census Tract 1256, Los Angeles, CA",1111,148,897,192,23,28,21,25,41,41,0,12,129,88
14000US06037127102,"Census Tract 1271.02, Los Angeles, CA",1072,362,677,238,113,106,104,94,20,24,26,32,132,86
14000US06037127103,"Census Tract 1271.03, Los Angeles, CA",559,171,431,134,11,14,42,42,5,9,0,12,70,101
14000US06037127104,"Census Tract 1271.04, Los Angeles, CA",805,270,571,202,179,132,27,25,9,14,0,12,19,26
14000US06037127210,"Census Tract 1272.10, Los Angeles, CA",783,174,573,138,57,42,65,44,7,12,28,34,53,42
14000US06037127220,"Census Tract 1272.20, Los Angeles, CA",989,264,680,193,140,97,107,55,11,17,28,31,23,25
14000US06037127300,"Census Tract 1273, Los Angeles, CA",666,180,470,132,103,69,46,41,6,9,26,29,15,18
14000US06037127400,"Census Tract 1274, Los Angeles, CA",1108,318,763,277,153,101,85,90,26,27,48,54,33,34
14000US06037127520,"Census Tract 1275.20, Los Angeles, CA",265,100,167,77,67,43,23,33,8,15,0,12,0,12
14000US06037127603,"Census Tract 1276.03, Los Angeles, CA",424,92,271,60,99,51,10,12,0,12,13,15,31,23
14000US06037127604,"Census Tract 1276.04, Los Angeles, CA",582,147,397,106,87,55,36,36,7,11,19,29,36,26
14000US06037127605,"Census Tract 1276.05, Los Angeles, CA",337,134,204,94,25,28,10,16,28,44,19,24,51,37
