Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010
"06037542602","14000US06037542602","Census Tract 5426.02","Census Tract 5426.02, Los Angeles County, California","ca","140","00","ACSSF","0005563",,,,,"06","037",,,,"542602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55417,60100,50972,,,,54485,62125,54412,
"06037542700","14000US06037542700","Census Tract 5427","Census Tract 5427, Los Angeles County, California","ca","140","00","ACSSF","0005564",,,,,"06","037",,,,"542700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64118,69150,57422,,,,70069,,70069,
"06037542800","14000US06037542800","Census Tract 5428","Census Tract 5428, Los Angeles County, California","ca","140","00","ACSSF","0005565",,,,,"06","037",,,,"542800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54967,54567,56406,,,,61146,,53798,
"06037542900","14000US06037542900","Census Tract 5429","Census Tract 5429, Los Angeles County, California","ca","140","00","ACSSF","0005566",,,,,"06","037",,,,"542900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53952,45600,81250,,,,61146,,46600,
"06037543000","14000US06037543000","Census Tract 5430","Census Tract 5430, Los Angeles County, California","ca","140","00","ACSSF","0005567",,,,,"06","037",,,,"543000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67639,71573,68264,,,,28967,108977,59516,
"06037543100","14000US06037543100","Census Tract 5431","Census Tract 5431, Los Angeles County, California","ca","140","00","ACSSF","0005568",,,,,"06","037",,,,"543100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59120,72639,58229,,,,57284,,57833,
"06037543201","14000US06037543201","Census Tract 5432.01","Census Tract 5432.01, Los Angeles County, California","ca","140","00","ACSSF","0005569",,,,,"06","037",,,,"543201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53320,52721,50909,,,,79375,50521,51771,59886
"06037543202","14000US06037543202","Census Tract 5432.02","Census Tract 5432.02, Los Angeles County, California","ca","140","00","ACSSF","0005570",,,,,"06","037",,,,"543202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47569,53634,30750,,,,36188,,51531,
"06037543304","14000US06037543304","Census Tract 5433.04","Census Tract 5433.04, Los Angeles County, California","ca","140","00","ACSSF","0005571",,,,,"06","037",,,,"543304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83848,98125,81935,,91250,,,,,98021
"06037543305","14000US06037543305","Census Tract 5433.05","Census Tract 5433.05, Los Angeles County, California","ca","140","00","ACSSF","0005572",,,,,"06","037",,,,"543305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63722,72679,62454,,,,68750,,62083,81563
"06037543306","14000US06037543306","Census Tract 5433.06","Census Tract 5433.06, Los Angeles County, California","ca","140","00","ACSSF","0005573",,,,,"06","037",,,,"543306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88424,58899,68611,,122366,,102863,,97714,57847
"06037543321","14000US06037543321","Census Tract 5433.21","Census Tract 5433.21, Los Angeles County, California","ca","140","00","ACSSF","0005574",,,,,"06","037",,,,"543321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85465,73300,91346,,85699,,142167,128702,76298,71161
"06037543322","14000US06037543322","Census Tract 5433.22","Census Tract 5433.22, Los Angeles County, California","ca","140","00","ACSSF","0005575",,,,,"06","037",,,,"543322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97857,82622,98214,,128179,,,,83567,
"06037543400","14000US06037543400","Census Tract 5434","Census Tract 5434, Los Angeles County, California","ca","140","00","ACSSF","0005576",,,,,"06","037",,,,"543400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88558,69375,93929,,76750,,96618,99844,87596,103000
"06037543501","14000US06037543501","Census Tract 5435.01","Census Tract 5435.01, Los Angeles County, California","ca","140","00","ACSSF","0005577",,,,,"06","037",,,,"543501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61997,54583,35347,,73977,65875,53844,,53977,62941
"06037543502","14000US06037543502","Census Tract 5435.02","Census Tract 5435.02, Los Angeles County, California","ca","140","00","ACSSF","0005578",,,,,"06","037",,,,"543502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63582,72188,,,80885,,44583,,46724,83542
